SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 7,been,6,1582,0.003792668,0.310154928,0.001176315
Southeast Article 7,by,6,1582,0.003792668,0,0
Southeast Article 7,his,6,1582,0.003792668,0.628608659,0.002384104
Southeast Article 7,threat,6,1582,0.003792668,0.916290732,0.003475186
Southeast Article 7,voters,6,1582,0.003792668,2.014903021,0.007641857
Southeast Article 8,at,6,680,0.008823529,0,0
Southeast Article 8,for,6,680,0.008823529,0,0
Southeast Article 8,on,6,680,0.008823529,0,0
Southeast Article 8,said,6,680,0.008823529,0.223143551,0.001968914
Southeast Article 8,since,6,680,0.008823529,0.916290732,0.008084918
Southeast Article 9,at,6,680,0.008823529,0,0
Southeast Article 9,by,6,680,0.008823529,0,0
Southeast Article 9,energy,6,680,0.008823529,0.762140052,0.006724765
Southeast Article 9,for,6,680,0.008823529,0,0
Southeast Article 9,is,6,680,0.008823529,0,0
Southeast Article 9,our,6,680,0.008823529,0.223143551,0.001968914
Southeast Article 1,an,5,1932,0.002587992,0.143100844,0.000370344
Southeast Article 1,because,5,1932,0.002587992,0.916290732,0.002371353
Southeast Article 1,economic,5,1932,0.002587992,1.098612289,0.0028432
Southeast Article 1,extinction,5,1932,0.002587992,2.708050201,0.007008411
Southeast Article 1,eye,5,1932,0.002587992,2.708050201,0.007008411
Southeast Article 1,fire,5,1932,0.002587992,2.014903021,0.005214552
Southeast Article 1,global,5,1932,0.002587992,0.143100844,0.000370344
Southeast Article 1,he,5,1932,0.002587992,0.310154928,0.000802678
Southeast Article 1,high,5,1932,0.002587992,1.32175584,0.003420693
Southeast Article 1,his,5,1932,0.002587992,0.628608659,0.001626834
Southeast Article 1,humans,5,1932,0.002587992,1.609437912,0.004165212
Southeast Article 1,i,5,1932,0.002587992,0.510825624,0.001322012
Southeast Article 1,lomborg,5,1932,0.002587992,2.708050201,0.007008411
Southeast Article 1,million,5,1932,0.002587992,1.32175584,0.003420693
Southeast Article 1,only,5,1932,0.002587992,0.510825624,0.001322012
Southeast Article 1,past,5,1932,0.002587992,0.762140052,0.001972412
Southeast Article 1,science,5,1932,0.002587992,0.510825624,0.001322012
Southeast Article 1,since,5,1932,0.002587992,0.916290732,0.002371353
Southeast Article 1,time,5,1932,0.002587992,0.762140052,0.001972412
Southeast Article 10,from,5,890,0.005617978,0,0
Southeast Article 10,on,5,890,0.005617978,0,0
Southeast Article 11,are,5,748,0.006684492,0.143100844,0.000956556
Southeast Article 11,bay,5,748,0.006684492,1.32175584,0.008835266
Southeast Article 11,climate,5,748,0.006684492,0,0
Southeast Article 11,going,5,748,0.006684492,0.762140052,0.005094519
Southeast Article 11,have,5,748,0.006684492,0,0
Southeast Article 11,it's,5,748,0.006684492,0.223143551,0.001491601
Southeast Article 12,about,5,1147,0.004359198,0.310154928,0.001352027
Southeast Article 12,from,5,1147,0.004359198,0,0
Southeast Article 12,good,5,1147,0.004359198,1.32175584,0.005761795
